"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"89922"	734824	202911	2	0	"2001/01/10"	"2001/01/21"	1	46335
"95577"	1900121732	266569	5	0	"2001/01/10"	"2001/02/17"	1	2522131
"272952"	798667	248520	5	0	"2001/01/10"	"2001/11/15"	1	2531403
"56557"	1210158724	489610	4	0	"2001/01/10"	"2001/02/09"	1	2522499
"187129"	763026	228431	5	0	"2001/01/10"	"2001/08/04"	1	2522488
"257614"	790097	320371	5	0	"2001/01/10"	"2001/08/05"	1	2531403
"1980"	193433220	201975	5	0	"2001/01/10"	"2001/03/29"	1	6205
"4466"	255102596	370724	5	0	"2001/01/10"	"2001/03/29"	1	6205
"199842"	766784	586941	5	0	"2001/01/10"	"2001/10/06"	1	2522488
"78380"	732994	232734	5	0	"2001/01/10"	"2001/03/23"	1	3321654
"79016"	733270	262981	5	0	"2001/01/10"	"2001/08/24"	1	3321654
"35573"	811896452	252301	5	0	"2001/01/10"	"2001/05/11"	1	2522498
"259811"	791443	368762	5	0	"2001/01/10"	"2001/08/05"	1	2531403
"6597"	719788	310200	4	0	"2001/01/10"	"2002/02/17"	1	6205
"20761"	508989060	408084	4	0	"2001/01/10"	"2001/05/22"	1	2531403
"173422"	757067	538598	5	0	"2001/01/10"	"2002/04/10"	1	2522482
"31831"	725555	573131	5	0	"2001/01/10"	"2001/08/23"	1	2522495
"128836"	2803338884	201805	5	0	"2001/01/10"	"2001/02/11"	1	2521901
"262709"	792926	268644	5	0	"2001/01/10"	"2001/06/21"	1	2531403
"63521"	730078	537096	5	0	"2001/01/10"	"2001/09/06"	1	2522499
"172946"	756948	350727	5	0	"2001/01/10"	"2001/07/18"	1	2522482
"277151"	800643	212370	2	0	"2001/01/10"	"2001/11/15"	1	2531403
"27396"	646549124	462264	5	0	"2001/01/10"	"2001/11/29"	1	2531403
"87243"	1773309572	203783	5	0	"2001/01/10"	"2001/07/31"	1	46335
"170655"	3924070020	437158	4	0	"2001/01/10"	"2001/09/07"	1	2522482
"141756"	3213594244	299846	5	0	"2001/01/10"	"2001/04/10"	1	2522535
"132500"	746295	289843	5	0	"2001/01/10"	"2001/04/19"	1	2521901
"207408"	768695	208283	5	0	"2001/01/10"	"2002/02/14"	1	6205
"36386"	827166340	200903	5	0	"2001/01/10"	"2001/06/13"	1	2522498
"136206"	3043528324	216022	5	0	"2001/01/10"	"2001/06/06"	1	2522535
"221647"	773630	328274	5	1	"2001/01/10"	"2001/10/30"	1	6205
"76502"	1554878084	217293	5	0	"2001/01/10"	"2001/03/23"	1	3321654
"147946"	3330379396	210284	4	0	"2001/01/10"	"2001/04/16"	1	2522317
"208652"	769012	292019	5	0	"2001/01/10"	"2001/02/23"	1	-1
"48833"	1031704196	200595	5	0	"2001/01/10"	"2001/03/19"	1	2522499
"280890"	803347	429665	5	0	"2001/01/10"	"2003/05/10"	1	2531403
"220630"	773296	449020	5	0	"2001/01/10"	"2001/04/23"	1	-1
"118042"	742620	556414	3	0	"2001/01/10"	"2001/07/13"	1	2522131
"224932"	775109	204441	4	0	"2001/01/10"	"2001/02/07"	1	6205
"220343"	773050	257386	5	0	"2001/01/10"	"2001/03/09"	1	6205
"154532"	3583348356	212893	3	0	"2001/01/10"	"2001/11/28"	1	6205
"237151"	780030	222351	5	0	"2001/01/10"	"2001/02/04"	1	6205
"51939"	1096519300	335034	5	0	"2001/01/10"	"2001/03/14"	1	2522535
"16388"	721825	210284	4	0	"2001/01/10"	"2001/03/15"	1	2531398
"192586"	764685	366089	5	0	"2001/01/10"	"2003/01/03"	1	2522488
"41165"	727487	236756	5	0	"2001/01/10"	"2003/05/15"	1	2522498
"267256"	795417	423230	5	0	"2001/01/10"	"2002/02/15"	1	2531403
"132142"	2976812676	334926	4	0	"2001/01/10"	"2002/03/10"	1	2521901
"92967"	736673	570943	4	0	"2001/01/10"	"2001/01/26"	1	46335
"111570"	738549	304416	5	0	"2001/01/10"	"2001/04/20"	1	2522131
"8924"	720793	480385	5	0	"2001/01/10"	"2001/04/10"	1	6205
"241540"	782224	496579	5	0	"2001/01/10"	"2001/02/04"	1	2531398
"214739"	771213	382391	3	0	"2001/01/10"	"2001/03/09"	1	6205
"222396"	773939	708757	5	0	"2001/01/10"	"2001/10/30"	1	-1
"59203"	728480	287856	4	0	"2001/01/10"	"2001/02/21"	1	2522499
"5491"	277974660	204506	5	0	"2001/01/10"	"2001/10/27"	1	-1
"292174"	809015	300364	5	0	"2001/01/10"	"2001/01/22"	1	2522726
"183419"	761887	443503	5	0	"2001/01/10"	"2001/09/28"	1	2531404
"8853"	720776	293732	5	0	"2001/01/10"	"2001/04/10"	1	6205
"206717"	768513	309973	5	0	"2001/01/10"	"2002/02/14"	1	6205
"222818"	774158	292095	5	0	"2001/01/10"	"2001/02/07"	1	6205
"51565"	1090948740	365394	5	0	"2001/01/10"	"2001/01/19"	1	2522499
"274645"	4102721156	398549	5	0	"2001/01/10"	"2001/11/15"	1	2531403
"133051"	746904	210284	4	0	"2001/01/10"	"2001/04/19"	1	2521901
"11119"	318738052	495905	5	0	"2001/01/10"	"2001/04/10"	1	2522488
"42404"	872582788	330117	5	0	"2001/01/10"	"2001/04/14"	1	-1
"7702"	720295	377673	5	0	"2001/01/10"	"2001/08/08"	1	6205
"242357"	782596	225095	5	0	"2001/01/10"	"2001/02/04"	1	2531398
"298986"	812321	315231	5	0	"2001/01/10"	"2001/03/08"	1	2522726
"281282"	803619	534836	4	0	"2001/01/10"	"2003/05/10"	1	2531403
"156472"	3682963076	204278	5	0	"2001/01/10"	"2001/09/06"	1	165915759489
"112574"	739229	539856	5	0	"2001/01/10"	"2001/03/07"	1	2522131
"222338"	773918	278587	3	1	"2001/01/10"	"2001/10/30"	1	6205
"133487"	747203	309398	5	0	"2001/01/10"	"2001/04/19"	1	2521901
"55088"	1166642820	483668	5	0	"2001/01/10"	"2001/02/09"	1	2522499
"119649"	2454490756	336718	5	0	"2001/01/10"	"2001/07/13"	1	2531389
"207511"	768712	239694	5	0	"2001/01/10"	"2002/02/14"	1	-1
"151059"	752293	542694	5	0	"2001/01/10"	"2001/08/28"	1	2522317
"192719"	764707	277804	5	0	"2001/01/10"	"2003/01/03"	1	2522488
"29125"	725236	552795	5	0	"2001/01/10"	"2001/08/23"	1	2531403
"84555"	1671138948	210836	5	0	"2001/01/10"	"2001/05/05"	1	46335
"161052"	753003	434487	5	0	"2001/01/10"	"2001/06/20"	1	165915759489
"20431"	504663684	483668	5	0	"2001/01/10"	"2001/05/22"	1	-1
"232415"	778050	520734	5	0	"2001/01/10"	"2001/01/31"	1	6205
"54483"	1155174020	280006	5	0	"2001/01/10"	"2001/02/09"	1	2522499
"99540"	2053869188	209674	5	0	"2001/01/10"	"2001/01/18"	1	2522131
"25204"	578915972	1368887172	5	0	"2001/01/10"	"2001/06/29"	1	2522494
"120404"	2493419140	210284	5	0	"2001/01/10"	"2001/05/08"	1	2531389
"171082"	756108	281943	5	0	"2001/01/10"	"2001/09/07"	1	2522482
"225640"	775510	522198	3	0	"2001/01/10"	"2001/02/07"	1	6205
"135604"	748239	719373	5	0	"2001/01/10"	"2001/06/06"	1	2522265
"88531"	1836748420	272022	2	1	"2001/01/10"	"2001/07/31"	1	46335
"185946"	762542	408948	5	0	"2001/01/10"	"2001/09/28"	1	2522488
"298926"	812251	358812	5	0	"2001/01/10"	"2001/03/08"	1	2522726
"177665"	4008480388	313693	5	0	"2001/01/10"	"2003/06/02"	1	2531404
"252567"	787801	305778	5	0	"2001/01/10"	"2001/01/31"	1	2531403
"75618"	1515753092	401163	5	0	"2001/01/10"	"2002/03/10"	1	3321654
"109251"	2380369540	242264	5	0	"2001/01/10"	"2001/04/20"	1	2522131
"84830"	1680903812	210284	5	0	"2001/01/10"	"2001/05/05"	1	46335
"186795"	762857	232795	3	0	"2001/01/10"	"2001/09/28"	1	2522488
"239541"	781339	429394	5	0	"2001/01/10"	"2001/02/04"	1	-1
"115883"	741338	489837	5	0	"2001/01/10"	"2001/07/13"	1	2522131
"269572"	796786	403130	5	0	"2001/01/10"	"2001/09/28"	1	2531403
"91928"	736226	247337	5	0	"2001/01/10"	"2001/01/26"	1	46335
"18991"	458198660	247337	5	0	"2001/01/10"	"2001/05/18"	1	2531403
"49617"	1051037316	210646	5	0	"2001/01/10"	"2001/02/07"	1	2522499
"142503"	748810	447478	4	0	"2001/01/10"	"2001/04/10"	1	2522535
"237194"	780042	232969	5	0	"2001/01/10"	"2001/02/04"	1	6205
"229187"	776881	256175	5	0	"2001/01/10"	"2001/01/31"	1	-1
"233574"	778527	380461	5	0	"2001/01/10"	"2001/01/31"	1	-1
"90209"	735045	535633	3	0	"2001/01/10"	"2001/06/16"	1	46335
"217347"	771996	256878	5	0	"2001/01/10"	"2001/03/09"	1	6205
"182331"	761434	252420	5	0	"2001/01/10"	"2002/02/18"	1	2531404
