"V1"	"V2"	"V3"	"V6"
"89922"	734824	202911	2	"2001/01/21"
"95577"	1900121732	266569	5	"2001/02/17"
"272952"	798667	248520	5	"2001/11/15"
"56557"	1210158724	489610	4	"2001/02/09"
"187129"	763026	228431	5	"2001/08/04"
"257614"	790097	320371	5	"2001/08/05"
"1980"	193433220	201975	5	"2001/03/29"
"4466"	255102596	370724	5	"2001/03/29"
"199842"	766784	586941	5	"2001/10/06"
"78380"	732994	232734	5	"2001/03/23"
"79016"	733270	262981	5	"2001/08/24"
"35573"	811896452	252301	5	"2001/05/11"
"259811"	791443	368762	5	"2001/08/05"
"6597"	719788	310200	4	"2002/02/17"
"20761"	508989060	408084	4	"2001/05/22"
"173422"	757067	538598	5	"2002/04/10"
"31831"	725555	573131	5	"2001/08/23"
"128836"	2803338884	201805	5	"2001/02/11"
"262709"	792926	268644	5	"2001/06/21"
"63521"	730078	537096	5	"2001/09/06"
"172946"	756948	350727	5	"2001/07/18"
"277151"	800643	212370	2	"2001/11/15"
"27396"	646549124	462264	5	"2001/11/29"
"87243"	1773309572	203783	5	"2001/07/31"
"170655"	3924070020	437158	4	"2001/09/07"
"141756"	3213594244	299846	5	"2001/04/10"
"132500"	746295	289843	5	"2001/04/19"
"207408"	768695	208283	5	"2002/02/14"
"36386"	827166340	200903	5	"2001/06/13"
"136206"	3043528324	216022	5	"2001/06/06"
"221647"	773630	328274	5	"2001/10/30"
"76502"	1554878084	217293	5	"2001/03/23"
"147946"	3330379396	210284	4	"2001/04/16"
"208652"	769012	292019	5	"2001/02/23"
"48833"	1031704196	200595	5	"2001/03/19"
"280890"	803347	429665	5	"2003/05/10"
"220630"	773296	449020	5	"2001/04/23"
"118042"	742620	556414	3	"2001/07/13"
"224932"	775109	204441	4	"2001/02/07"
"220343"	773050	257386	5	"2001/03/09"
"154532"	3583348356	212893	3	"2001/11/28"
"237151"	780030	222351	5	"2001/02/04"
"51939"	1096519300	335034	5	"2001/03/14"
"16388"	721825	210284	4	"2001/03/15"
"192586"	764685	366089	5	"2003/01/03"
"41165"	727487	236756	5	"2003/05/15"
"267256"	795417	423230	5	"2002/02/15"
"132142"	2976812676	334926	4	"2002/03/10"
"92967"	736673	570943	4	"2001/01/26"
"111570"	738549	304416	5	"2001/04/20"
"8924"	720793	480385	5	"2001/04/10"
