V1	V2	V3	V6
1527418500	295491	5	2002/03/10
777191	265981	4	2001/01/31
748291	206924	4	2001/06/06
621514372	549799	5	2001/11/29
3221327492	279109	5	2001/04/10
3142094468	290844	5	2001/01/18
746537	209674	4	2001/04/19
739036	370291	5	2001/04/20
775933	245622	5	2002/07/31
507874948	381452	5	2001/05/22
727577	262981	5	2003/06/14
680038020	1478004612	5	2001/08/23
2786496132	319000	5	2001/02/11
737402	244271	5	2001/01/26
755430	2633797508	4	2001/06/20
733777	361404	5	2001/06/10
983273092	1639944068	5	2002/02/21
780030	372535	4	2001/02/04
738045	282870	2	2001/04/20
777858	324557	5	2001/01/31
1200131716	393717	5	2001/02/09
651923076	303530	4	2001/11/29
2376830596	200118	5	2001/04/20
387157636	201583	3	2001/03/15
3277229700	199828	5	2001/01/22
755794	306568	5	2001/06/20
1542491780	273948	5	2001/03/23
771542	221781	4	2001/03/09
732616	271943	5	2001/03/23
401182340	277629	4	2001/03/15
3329724036	293646	4	2001/04/16
720697	539733	5	2001/04/10
3832974980	229113	5	2001/09/07
930909828	431650	5	2001/06/21
773361284	210284	5	2001/05/11
1959104132	205464	4	2001/01/18
734140	206437	5	2001/09/28
754223	234388	5	2001/06/20
747138	204917	3	2001/04/19
729150	256063	5	2001/08/16
763856	347156	4	2001/08/04
324963972	371087	5	2001/10/29
769054	235717	5	2001/02/23
3734015620	210284	5	2001/11/15
769630	303510	4	2001/02/23
766453	256565	5	2001/10/06
3541995140	315231	4	2001/03/29
766397	210705	5	2001/10/06
1345425028	205464	5	2001/03/27
350129796	276559	5	2001/03/15
2677640836	326177	5	2001/02/11
1559924356	223559	5	2001/03/23
2384170628	372171	4	2001/04/20
1542295172	269106	5	2002/03/10
1440517764	230177	5	2002/07/31
822447748	210284	5	2001/06/13
3700985476	276559	5	2001/11/15
777787	426718	5	2001/01/31
2470940292	222705	5	2001/05/08
732925572	206686	5	2001/08/23
778568	2994769796	5	2001/01/31
770202	349174	5	2001/02/23
749244036	350626	5	2001/08/23
763589	240913	5	2001/08/04
775250	485828	4	2001/02/07
2353434244	545665	5	2001/04/20
726305	365656	5	2003/04/28
761752	2829750148	3	2001/09/28
2025492100	228431	5	2001/01/18
3738603140	200522	5	2001/11/15
2103283332	269785	5	2001/01/24
754223	225095	5	2001/06/20
768902	355206	4	2002/02/14
1724812932	300458	5	2001/05/05
616926852	235989	5	2001/11/29
726336	252936	5	2003/05/15
3398667908	241362	5	2001/03/07
755061	288847	3	2001/06/20
1244106372	282870	5	2001/02/09
766953	218781	5	2002/02/14
727600	222263	5	2003/06/14
2216791684	417854	5	2001/09/12
726547	396804	5	2003/05/15
778442	287174	5	2001/01/31
647204484	204239	5	2001/11/29
1300467332	223418	5	2001/09/06
748800	298699	5	2001/04/10
766861	306614	5	2001/10/29
769144	208103	5	2001/02/23
730006	418534	5	2001/09/06
455708292	241729	5	2001/05/18
2116521604	379808	5	2001/08/30
1267568260	216022	2	2001/08/16
761325	210284	5	2002/02/18
752203	248235	5	2001/01/24
776527	311238	5	2001/01/31
1820429956	256303	5	2001/07/31
950242948	523575	5	2001/06/21
724974	430170	5	2002/07/13
764306	237414	5	2001/06/21
744828	236756	5	2001/05/13
806915716	440789	5	2001/05/11
749633	244271	2	2002/05/11
749032	204549	5	2001/08/22
762400	206437	5	2001/09/28
762458	575467	5	2001/09/28
2115341956	256303	5	2001/08/30
780968	497285	5	2001/02/04
755101	370747	5	2001/06/20
2004913796	269964	3	2001/01/18
2243399300	340335	5	2001/09/12
753883	380170	5	2001/06/20
744823	719309	5	2001/05/13
1217760900	556880	5	2001/03/16
721593	282870	4	2001/03/15
1346801284	536785	2	2001/03/27
773452	200396	3	2001/10/30
3908472452	202207	5	2001/09/07
730161	217590	3	2001/09/06
776082	279675	5	2002/07/31
708939396	260558	4	2001/08/23
777029	318313	4	2001/01/31
719658	279109	5	2001/10/27
773975	200614	5	2001/10/30
772030	1000247172	4	2001/03/09
767995	255170	5	2002/02/14
768513	218579	5	2002/02/14
765797	281871	5	2001/10/20
769828	223418	3	2001/02/23
1838386820	238184	5	2001/07/31
202804868	418534	5	2001/03/29
737664	338291	5	2001/02/17
755222	700005	4	2001/06/20
1159302788	212893	4	2001/02/09
746697	231844	4	2001/04/19
786009732	346282	4	2001/05/11
3304820356	282870	3	2001/10/30
771070	323185	5	2001/03/09
729094	205433	5	2001/08/16
726524	338015	4	2003/05/15
746467	326177	5	2001/04/19
1958579844	286861	5	2001/01/18
726814	322117	5	2003/05/15
756409	210836	3	2001/09/07
720180	586941	5	2001/08/08
734661	241362	5	2001/01/21
736455	223584	5	2001/01/26
756869	321708	5	2001/07/18
981765764	437448	5	2002/02/21
3893464708	240929	5	2001/09/07
766019	372171	5	2001/10/20
1748930180	527903	5	2001/07/31
829787780	526523	5	2001/06/13
756620	347667	5	2001/08/23
2372243076	1995804548	5	2001/04/20
1100779140	235717	5	2001/01/23
751465	200690	5	2001/03/07
734164	226231	5	2001/09/28
764246	382117	5	2001/08/04
760082	322437	5	2003/06/02
816352900	210284	5	2001/06/13
723446	569572	5	2001/09/18
776292	462630	5	2002/07/31
721706	355445	5	2001/03/15
3975908996	437158	4	2001/03/16
768442	415509	5	2002/02/14
875269764	200338	5	2001/04/04
776465	225095	5	2001/01/31
249532036	200595	5	2001/03/29
742516	304408	5	2001/07/13
732969	405665	4	2001/03/23
2965147268	1872990084	5	2002/03/10
746737	202559	5	2001/04/19
4032794244	287112	4	2003/06/02
1829015172	202911	3	2001/07/31
757629	253291	5	2001/03/16
962563716	235766	5	2001/03/29
2046004868	210284	4	2001/01/18
760891	344348	5	2003/06/02
769284	218759	5	2001/02/23
682790532	210056	5	2001/08/23
1787989636	208103	5	2001/07/31
763381	321708	4	2001/08/04
1039896196	342702	5	2001/05/20
740977	210284	5	2001/07/13
742336	243427	5	2001/07/13
720280	297179	5	2001/08/08
730455	298157	4	2001/09/06
773678	468091	4	2001/10/30
720300	346537	5	2001/08/08
740513	2439614340	5	2001/07/13
4032794244	345527	4	2003/06/02
1049726596	256565	5	2001/02/07
764058	394804	5	2001/08/04
322211460	231243	5	2001/04/10
749937	443503	5	2001/08/20
761717	494306	5	2001/09/28
1456639620	362190	5	2001/10/15
772135	279109	4	2001/03/09
1357024900	229113	3	2001/03/27
751241	209974	5	2001/03/07
734136	243427	5	2001/09/28
722806	689495	5	2001/07/11
762242	206843	5	2001/09/28
767746	261840	3	2002/02/14
507874948	200573	5	2001/05/22
758156	419598212	5	2001/03/16
758156	671977348	5	2001/03/16
764161	347156	4	2001/08/04
2197720708	300048	4	2002/12/24
773430	200762	5	2001/10/30
730038	533229	5	2001/09/06
731706	240597	5	2001/09/06
307203716	1015910276	5	2001/04/10
256872068	279544	3	2001/03/29
3502608004	263022	3	2001/03/29
774115	208923	5	2001/10/30
4030500484	530946	5	2003/06/02
418614916	210284	4	2001/05/18
1141804676	233180	5	2001/08/16
1758629508	346777	3	2001/07/31
726424	296058	5	2003/05/15
774202	449364	5	2001/02/07
956534404	503243	5	2001/03/29
780573	255817	4	2001/02/04
268799620	2211680132	5	2001/03/29
726588	241261	5	2003/05/15
1132498564	402326	5	2001/01/25
740901	234885	5	2001/07/13
747076	298184	5	2001/04/19
2926218884	239562	5	2002/03/10
1122143876	344529	5	2001/01/23
756620	260558	5	2001/08/23
3962670724	296904	5	2002/04/10
1480232580	210284	5	2001/01/26
774249	551648	4	2001/02/07
730455	502205	3	2001/09/06
775179	294495	5	2001/02/07
176000644	270717	5	2001/03/29
766348	562458	5	2001/10/06
771946	312810	5	2001/03/09
449416836	540189	5	2001/05/18
1831767684	328146	4	2001/07/31
3362229892	420738	5	2001/03/07
1515753092	345803	5	2002/03/10
3988295300	209674	5	2001/03/16
787582596	204945	5	2001/05/11
725234	430193	5	2001/08/23
773033	450803	5	2001/03/09
3464400516	209121	5	2001/03/29
351637124	205541	5	2001/03/15
732994	280501	5	2001/03/23
2643824260	352780	5	2001/03/19
1347194500	350445	5	2001/03/27
771955	312555	5	2001/03/09
733660	274465	5	2001/02/06
2831257220	210284	3	2002/03/10
776025	482306	4	2002/07/31
753061	1713803140	5	2001/06/20
722882	203772	5	2001/07/11
1994886788	217293	5	2001/01/18
731510	200338	4	2001/09/06
975933060	206437	5	2002/02/21
1404079748	252302	5	2001/03/29
1632865924	322117	4	2001/10/30
575377028	210284	5	2001/06/29
773347	360018	5	2001/04/23
781709	505248	5	2001/02/04
3919941252	324994	4	2001/09/07
733207	282870	4	2001/03/23
769383	222705	5	2001/02/23
3133443716	290844	5	2001/01/18
775681	307890	5	2002/07/31
753342	256232	5	2001/06/20
776051	211554	5	2002/07/31
715361924	349482	3	2001/08/23
587763332	280754	4	2001/06/29
728716	310409	5	2002/02/16
740738	342772	5	2001/07/13
2472775300	293732	4	2001/05/08
780800	369057	4	2001/02/04
758046	349421	5	2001/03/16
720316	259745	4	2001/01/21
749770	245666	4	2001/06/23
747818	485638	5	2001/04/19
3884748420	462496	5	2001/09/07
4030500484	534207	3	2003/06/02
728746	293646	5	2002/02/16
955551364	202416	5	2001/03/29
2999815812	346082	5	2001/06/06
762030	256565	5	2001/09/28
767194	408214	5	2002/02/14
1660718724	281871	4	2001/10/12
1056411268	249990	5	2001/02/07
464752260	310409	4	2001/05/18
1849265796	258534	5	2001/07/31
1884982916	224644	5	2001/02/17
778148	268021	5	2001/01/31
749524	320093	5	2002/05/11
775225	200338	4	2001/02/07
726588	539194	5	2003/05/15
3398667908	205068	5	2001/03/07
2490207876	350656	3	2001/05/08
767427	317856	5	2002/02/14
729582	201226	5	2001/08/16
725742	203715	2	2001/08/23
926649988	300457	5	2001/06/21
773861	298157	5	2001/10/30
767861	420355	5	2002/02/14
747192	295348	5	2001/04/19
953716356	1015910276	5	2001/03/03
763589	287340	5	2001/08/04
3059060356	262195	5	2001/03/13
734140	281207	5	2001/09/28
733747	337335	5	2001/06/10
750040	296904	5	2001/08/20
1680445060	282870	4	2001/05/05
202804868	553461	5	2001/03/29
763098	393717	5	2001/08/04
3040579204	200233	4	2001/06/06
728056	334390	3	2001/06/21
772980	655625	5	2001/03/09
762441	404189	5	2001/09/28
200576644	595906	5	2001/03/29
768125	205491	5	2002/02/14
749553	396804	5	2002/05/11
774039	204441	5	2001/10/30
722407	417854	5	2001/07/11
3974729348	294054	3	2001/03/16
1150258820	1526566788	5	2001/02/09
278564484	539856	5	2001/10/27
776492	502205	5	2001/01/31
1698664068	200396	5	2001/05/05
787582596	345500	5	2001/05/11
1992199812	418616	5	2001/01/18
3854929540	249622	3	2001/09/07
736377	208905	5	2001/01/26
2746257028	213509	5	2001/02/11
779709	261882	5	2001/02/04
2806025860	326177	5	2001/02/11
1588956804	276792	5	2001/09/28
733592	402326	5	2001/02/06
766733	368762	5	2001/10/06
1377668740	408356	5	2001/03/29
2110230148	426286	5	2001/08/30
729243	204278	5	2001/08/16
1559924356	313693	5	2001/03/23
3958804100	217762	5	2002/04/10
316247684	1532923780	5	2001/04/10
2112130692	225131	4	2001/08/30
733327	241572	4	2001/02/06
751939	380461	5	2001/03/07
1617006212	210284	5	2001/09/28
764123	249400	5	2001/08/04
2000785028	426066	5	2001/01/18
719637	269964	4	2001/10/27
763939	426066	4	2001/08/04
778934	348006	4	2001/01/31
3872099972	288445	5	2001/09/07
780936	299917	5	2001/02/04
4011691652	261183	5	2003/06/02
740050	207040	5	2001/07/13
3505426052	241562	5	2001/03/29
2326695556	902205316	5	2001/09/12
779606	407374	3	2001/02/04
739029	329004	2	2001/04/20
762795	239413	5	2001/09/28
750917	326177	5	2001/03/07
772436	223418	3	2001/03/09
3815018116	249622	5	2001/09/07
751939	435967	5	2001/03/07
1000509060	241578	5	2001/03/19
721248	312810	5	2001/03/15
474320516	2605617028	5	2001/05/18
2574028420	208201	5	2001/05/08
720316	216631	4	2001/01/22
768494	268021	5	2002/02/14
721170	255181	5	2001/03/15
736385	242568	5	2001/01/26
1426099844	370747	4	2002/07/31
764041	309398	5	2001/08/04
735238	241362	5	2001/06/16
764859	200762	5	2003/01/03
769824	293646	5	2001/02/23
767585	286982	4	2002/02/14
757038	222720	4	2002/04/10
748167	390377	5	2001/06/06
2733543044	380658	5	2001/05/13
725468	204418	5	2001/08/23
179474052	345500	5	2001/03/29
733784	302583	5	2001/06/10
2704445060	283057	5	2001/05/13
202804868	216631	5	2001/03/29
744398	235766	5	2001/05/13
2583596676	302584	5	2001/05/08
771125	209513	4	2001/03/09
827166340	204358	5	2001/06/13
773812	499436	5	2001/10/30
1586531972	300048	5	2001/09/28
1727630980	372535	5	2001/05/05
2023263876	368762	5	2001/01/18
294751876	243427	5	2001/04/10
506891908	294288	5	2001/05/22
3544944260	210284	5	2001/03/29
765975	473035	4	2001/10/20
3330444932	269964	3	2001/04/16
3297939076	206045	5	2001/01/22
446795396	277629	4	2001/05/18
724021	245500	5	2002/01/13
1338216068	497285	5	2001/09/06
773861	555889	4	2001/10/30
2169474692	234861	5	2002/12/24
3909783172	430252	5	2001/09/07
903777924	239694	5	2001/04/04
3867250308	242696	5	2001/09/07
696225412	342046	4	2001/08/23
765839	205639	5	2001/10/20
3810168452	270717	5	2001/06/20
756242	336990	4	2001/09/07
745463	216022	4	2001/05/13
722438	277629	5	2001/07/11
1191677572	495672	5	2001/02/09
854691460	457781	3	2003/04/28
1826197124	330912	5	2001/07/31
730852	547658	5	2001/09/06
745240	351524	2	2001/05/13
753025	248690	5	2001/06/20
725470	236756	5	2001/08/23
766565	216022	3	2001/10/06
2600832644	540043	5	2001/03/19
3984756356	205541	5	2001/03/16
727459	402326	5	2003/05/15
1765117572	459857	4	2001/07/31
3311439492	265056	5	2001/10/30
722692	443503	3	2001/07/11
3954085508	344529	5	2002/04/10
719991	324099	4	2002/02/17
722342	280831	4	2001/07/11
726650	262981	5	2003/05/15
730912	261351	4	2001/09/06
774381	234885	5	2001/02/07
777588	240260	5	2001/01/31
748587	240929	3	2001/06/06
762497	245500	5	2001/09/28
759868	517173	5	2003/06/02
2149092996	401243	5	2001/08/30
740513	342046	4	2001/07/13
2141490820	231385	5	2001/08/30
745600	436168	5	2001/05/13
737702	314435	5	2001/02/17
773528	322274	5	2001/10/30
1909493380	245777	5	2001/02/17
721389	238687	5	2001/03/15
781136	645386	5	2001/02/04
3184627332	295348	5	2001/04/10
734821	415358	5	2001/01/21
727801	292019	5	2001/04/14
763100	692821	5	2001/08/04
3588525700	210870	5	2001/11/28
751939	267632	5	2001/03/07
368086660	508983	4	2001/03/15
737726	319609	5	2001/02/17
767427	336348	5	2002/02/14
1445170820	209121	5	2002/07/31
1939902084	252302	5	2001/01/18
1527418500	242266	5	2002/03/10
749526	203483	5	2002/05/11
728503	200903	5	2001/08/27
765141	249400	4	2003/01/03
2082377348	247337	5	2001/10/28
733159	209513	5	2001/03/23
764860	319609	5	2003/01/03
3976564356	210284	4	2001/03/16
3241119364	418534	5	2001/08/20
753031	448594	4	2001/06/20
756116	297335	5	2001/09/07
777258	233600	5	2001/01/31
721170	322117	5	2001/03/15
252546692	232849	4	2001/03/29
504663684	201975	4	2001/05/22
757795	222557	5	2001/03/16
732694	405871	5	2001/03/23
735303	426834	5	2001/06/16
752070	207186	5	2001/03/07
737664	262822	5	2001/02/17
3842739844	385423	5	2001/09/07
1123716740	223418	5	2001/01/23
761992	222705	5	2001/09/28
762495	208103	4	2001/09/28
1176538756	301184	5	2001/02/09
737541	256303	5	2001/02/17
771913	1124241284	4	2001/03/09
729257	235717	5	2001/08/16
779147	215415	5	2001/01/31
729094	248334	5	2001/08/16
748606	380552	5	2001/06/06
237670020	282884	5	2001/03/29
780042	279109	5	2001/02/04
751078	345590	2	2001/03/07
1345752708	508055	5	2001/03/27
4044852868	370747	5	2003/01/03
766784	441269	5	2001/10/06
836079236	294716	5	2003/04/28
738494	222705	3	2001/04/20
754158	244271	5	2001/06/20
726814	300364	5	2003/05/15
769220	256483	5	2001/02/23
770331	491968	2	2001/02/23
772644	233969	3	2001/03/09
761434	342046	5	2002/02/18
2808516228	262051	5	2001/02/11
720378	234885	5	2001/01/21
777605	405665	5	2001/01/31
928484996	224115	5	2001/06/21
761878	406551	5	2001/09/28
761931	206924	4	2001/09/28
780533	446523	5	2001/02/04
780261	368762	5	2001/02/04
777265	292019	5	2001/01/31
3516829316	307076	5	2001/03/29
763484	202028	5	2001/08/04
848596612	241627	4	2003/04/28
728746	241261	5	2002/02/16
776600	368725	4	2001/01/31
2210696836	406998	3	2001/09/12
772521	201915	5	2001/03/09
749164	310822	4	2001/08/22
294817412	495905	5	2001/04/10
1001885316	450333	5	2001/03/19
3081080452	301950	5	2001/03/28
737223	311271	5	2001/01/26
2453704324	447127	3	2001/07/13
762242	224409	5	2001/09/28
768512	491968	5	2002/02/14
763781	210420	5	2001/08/04
775933	531696	5	2002/07/31
2216332932	205833	5	2001/09/12
766861	369013	5	2001/10/29
767829	567723	5	2002/02/14
762542	315436	5	2001/09/28
740951	589182	5	2001/07/13
738276	245500	5	2001/04/20
728449	413254	5	2001/02/21
754277	210284	5	2001/06/20
3797716612	316345	5	2001/06/20
3930295940	505319	5	2002/04/10
2419625604	323904	5	2001/04/20
2979958404	210284	4	2002/03/10
2132905604	394804	4	2001/08/30
3154218628	435967	5	2001/04/10
730884	210284	5	2001/09/06
770654	563313	4	2001/08/22
763006596	312171	5	2001/05/11
377261700	249399	5	2001/03/15
749491	244271	5	2002/05/11
491228804	250364	5	2001/05/22
757097	283312	4	2002/04/10
721726	255170	5	2001/03/15
1174572676	405966724	4	2001/02/09
303926916	231189	5	2001/04/10
750897	203241	5	2001/03/07
3859254916	223618	5	2001/09/07
1020628612	260162	5	2001/03/19
3660877444	421900	5	2001/04/20
769513	245939	5	2001/02/23
507416196	408084	4	2001/05/22
760082	222992	5	2003/06/02
1159302788	430252	4	2001/02/09
770480	279499	3	2001/02/23
780236	430751	5	2001/02/04
2630127236	446576	5	2001/03/19
771405	210284	4	2001/03/09
2353892996	200762	3	2001/04/20
742249	266633	4	2001/07/13
1863552644	692821	5	2001/07/31
3923480196	217293	5	2001/09/07
780303	557672	5	2001/02/04
1521061508	401711	5	2002/03/10
769709	216631	5	2001/02/23
777220	405134	3	2001/01/31
781811	356453	5	2001/02/04
765510	312825	4	2001/10/20
725234	262226	5	2001/08/23
1338478212	293732	4	2001/09/06
2082377348	508818	5	2001/10/28
3859385988	705223	5	2001/09/07
1143443076	241374	4	2001/08/16
759129	535262	5	2003/06/02
773050	232075	5	2001/03/09
730563	300340	5	2001/09/06
731504	407665	5	2001/09/06
766619	388258	5	2001/10/06
760787	705091	5	2003/06/02
732394	240913	5	2001/03/23
1931841156	214908	3	2001/02/17
3928329860	279109	5	2001/09/07
1559924356	320093	5	2001/03/23
2032963204	204441	5	2001/01/18
764199	301107	4	2001/08/04
767270	412287	5	2002/02/14
2436533892	369121	2	2001/07/13
1114869380	302584	4	2001/01/23
732728964	349482	3	2001/08/23
757028	312810	5	2002/04/10
768695	232795	5	2002/02/14
748606	210284	4	2001/06/06
405966468	523575	5	2001/03/15
1019711108	219592	5	2001/03/19
729876	201226	5	2001/08/16
739494	201805	5	2001/03/07
737482	216482	5	2001/02/17
1027313284	533229	5	2001/03/19
742083	379162	5	2001/07/13
3683880580	301949	4	2001/09/06
3536817796	260251	5	2001/03/29
757070	338541	5	2002/04/10
1437634180	306254	5	2002/07/31
3160379012	367252	2	2001/04/10
1873907332	596744	5	2001/01/21
726824	297363	5	2003/05/15
1211534980	241362	3	2001/02/09
338202244	237120	4	2001/03/15
643337860	222557	5	2001/11/29
2502921860	416767	5	2001/05/08
768297	257170	5	2002/02/14
1392545412	2413727620	5	2001/03/29
1031114372	203772	4	2001/03/19
2804584068	210284	5	2001/02/11
768726	225095	4	2002/02/14
771354	458367	5	2001/03/09
1595575940	561680260	5	2001/09/28
1642958468	223418	2	2001/10/30
728990	251205	5	2001/08/16
780771	274003	5	2001/02/04
1254002308	333720	5	2001/02/09
1394773636	222351	5	2001/03/29
719644	342046	5	2001/10/27
1431539332	346777	3	2002/07/31
742124	296904	5	2001/07/13
1929023108	311271	5	2001/02/17
1815580292	235766	4	2001/07/31
731853	358739	5	2001/09/06
737075	319609	5	2001/01/26
766660	391280	5	2001/10/06
722210	294947	3	2001/05/22
2471726724	301949	5	2001/05/08
754632	380658	5	2001/06/20
748598	260558	5	2001/06/06
762025	233068	5	2001/09/28
766308	242264	5	2001/10/20
723230	205068	5	2001/07/11
310873732	705223	4	2001/04/10
345804420	281871	5	2001/03/15
727320	312291	5	2003/05/15
757613	345803	4	2001/03/16
2827718276	204358	5	2002/03/10
2040106628	203270	5	2001/01/18
769225	294369	5	2001/02/23
762078	353684	5	2001/09/28
1482002052	240205	4	2001/01/26
458198660	1352699780	5	2001/05/18
777767	307583	4	2001/01/31
775379	293646	4	2001/02/07
767746	234861	5	2002/02/14
758099	338015	5	2001/03/16
781684356	241578	5	2001/05/11
955551364	346777	5	2001/03/29
2551615108	437448	3	2001/05/08
736590	527903	5	2001/01/26
771267	204358	5	2001/03/09
719644	461876	5	2001/10/27
1506446980	262286	5	2002/03/10
1211666052	224115	5	2001/02/09
766373	390573	5	2001/10/06
765994	255170	5	2001/10/20
731592	290046	5	2001/09/06
738354	223756	5	2001/04/20
771582	210284	5	2001/03/09
777559	527498	5	2001/01/31
741620	200500	5	2001/07/13
748587	291301	4	2001/06/06
3120402052	443735	5	2001/01/18
762350	322274	3	2001/09/28
750614	209513	4	2001/03/07
774735	210284	5	2001/02/07
757997	210495	5	2001/03/16
254316164	231243	5	2001/03/29
3323629188	256565	5	2001/04/16
865570436	203983	3	2003/05/15
726433	338145	4	2003/05/15
736972	365973	5	2001/01/26
754525	209674	5	2001/06/20
3081801348	688555	5	2001/03/28
747634	231844	4	2001/04/19
2100399748	290844	5	2001/10/28
1515753092	531141	5	2002/03/10
775076	323904	5	2001/02/07
768712	497285	5	2002/02/14
740591	551841	5	2001/07/13
732484	332624	5	2001/03/23
2867039876	317816	4	2002/03/10
176000644	335034	5	2001/03/29
1794018948	326834	5	2001/07/31
778533	210325	4	2001/01/31
3208744580	342772	5	2001/04/10
740787	276559	5	2001/07/13
678334084	225917	5	2001/08/23
768968	505319	5	2001/02/23
736226	207186	5	2001/01/26
436964996	222472	5	2001/05/18
306613892	201495	5	2001/04/10
768322	247388	5	2002/02/14
724837	323666	5	2001/02/22
